,name,na_sales,eu_sales,jp_sales,other_sales,global_sales
7200,Tetris Worlds,0.17,0.04,0.0,0.01,0.22
7206,The Sims 4: Get Together,0.05,0.15,0.0,0.02,0.22
7208,Viewtiful Joe 2,0.17,0.04,0.0,0.01,0.22
7212,Child of Eden,0.09,0.1,0.0,0.04,0.22
7217,Touch the Dead,0.2,0.0,0.0,0.02,0.22
7219,Nickelodeon Party Blast,0.16,0.05,0.0,0.01,0.22
7220,Jackass the Game,0.09,0.08,0.0,0.05,0.22
7221,Ragnarok DS,0.1,0.0,0.11,0.01,0.22
7224,Shellshock: Nam '67,0.16,0.05,0.0,0.01,0.22
7228,Magna Carta: Tears of Blood,0.11,0.08,0.0,0.03,0.22
7229,All-Star Baseball 2002,0.17,0.04,0.0,0.01,0.22
7231,Capcom vs. SNK,0.0,0.0,0.22,0.0,0.22
7232,Pinball Hall of Fame: The Williams Collection,0.2,0.0,0.0,0.02,0.22
7233,Aliens vs Predator: Requiem,0.03,0.12,0.0,0.07,0.22
7234,Dishonored 2,0.12,0.08,0.0,0.02,0.22
7235,Asphalt: Injection,0.13,0.06,0.0,0.03,0.22
7237,From Russia With Love,0.17,0.04,0.0,0.01,0.22
7239,Guitar Hero: Smash Hits,0.11,0.01,0.0,0.1,0.22
7240,NBA Live 09 All-Play,0.19,0.01,0.0,0.02,0.22
7241,NFL Quarterback Club 2002,0.11,0.08,0.0,0.03,0.22
7242,NCAA Basketball 09,0.2,0.0,0.0,0.02,0.22
7244,Shin Megami Tensei: Persona,0.08,0.0,0.13,0.01,0.22
7246,Lords of the Fallen,0.1,0.1,0.0,0.02,0.22
7247,LEGO The Lord of the Rings,0.07,0.13,0.0,0.03,0.22
7249,Growlanser: Heritage of War,0.11,0.08,0.0,0.03,0.22
7250,Ben 10 Alien Force: Vilgax Attacks,0.11,0.09,0.0,0.02,0.22
7252,Rugby 2004,0.11,0.08,0.0,0.03,0.22
7255,Senran Kagura 2: Deep Crimson ,0.1,0.02,0.08,0.01,0.22
7256,NBA 06,0.2,0.0,0.0,0.02,0.22
7257,KORG DS-10 Synthesizer,0.19,0.01,0.0,0.02,0.22
7258,Naruto: Ninja Council,0.16,0.06,0.0,0.0,0.22
7260,Tropico 3,0.15,0.02,0.03,0.01,0.22
7262,Deadly Creatures,0.08,0.12,0.0,0.02,0.22
7263,Naruto Shippuden: Ultimate Ninja Storm Revolution,0.14,0.06,0.0,0.02,0.22
7266,Dead Island,0.12,0.07,0.0,0.03,0.22
7267,NFL 2K3,0.17,0.04,0.0,0.01,0.22
7275,Hunted: The Demon's Forge,0.13,0.06,0.0,0.02,0.22
7281,Britney's Dance Beat,0.15,0.06,0.0,0.0,0.22
7282,Shrek SuperSlam,0.17,0.04,0.0,0.01,0.22
7283,Full Auto,0.19,0.01,0.0,0.02,0.22
7285,Herdy Gerdy,0.11,0.08,0.0,0.03,0.22
7287,Afrika,0.12,0.0,0.08,0.01,0.22
7294,Over G Fighters,0.19,0.01,0.0,0.02,0.21
7297,Angry Birds Star Wars,0.1,0.08,0.0,0.04,0.21
7298,Hot Shots Tennis: Get a Grip,0.07,0.0,0.13,0.01,0.21
7301,Star Wars: The Force Unleashed II,0.17,0.03,0.0,0.02,0.21
7302,The Dukes of Hazzard: Return of the General Lee,0.11,0.08,0.0,0.03,0.21
7306,Crash 'N' Burn,0.11,0.08,0.0,0.03,0.21
7307,NBA,0.2,0.0,0.0,0.02,0.21
7315,Disaster Report,0.03,0.02,0.15,0.01,0.21
7317,Armored Core V,0.13,0.03,0.04,0.01,0.21
7319,College Hoops 2K7,0.2,0.0,0.0,0.02,0.21
7324,Rampage: Total Destruction,0.19,0.01,0.0,0.02,0.21
7327,The Bard's Tale,0.1,0.08,0.0,0.03,0.21
7331,Robotech: The Macross Saga,0.15,0.06,0.0,0.0,0.21
7336,Conflict Zone,0.1,0.08,0.0,0.03,0.21
7338,Code Name: S.T.E.A.M.,0.14,0.05,0.01,0.02,0.21
7339,The Bureau: XCOM Declassified,0.1,0.1,0.0,0.02,0.21
7340,Star Wars: Battlefront,0.07,0.13,0.0,0.02,0.21
7341,BloodRayne,0.16,0.05,0.0,0.01,0.21
7345,NHL 2K6,0.16,0.05,0.0,0.01,0.21
7346,Hannah Montana: The Movie,0.14,0.05,0.0,0.02,0.21
7347,Tenchu: Return From Darkness,0.16,0.05,0.0,0.01,0.21
7348,World Poker Tour,0.1,0.08,0.0,0.03,0.21
7349,Neo Contra,0.1,0.08,0.0,0.03,0.21
7350,MVP Baseball,0.2,0.0,0.0,0.02,0.21
7353,Tony Hawk's American Sk8land,0.19,0.0,0.0,0.02,0.21
7359,Viewtiful Joe 2,0.1,0.08,0.0,0.03,0.21
7360,The BIGS 2,0.19,0.01,0.0,0.02,0.21
7361,Quake III: Revolution,0.1,0.08,0.0,0.03,0.21
7362,Pac-Man World 3,0.1,0.08,0.0,0.03,0.21
7363,50 Cent: Blood on the Sand,0.12,0.07,0.0,0.02,0.21
7365,Journey,0.04,0.13,0.0,0.04,0.21
7367,SBK X: Superbike World Championship,0.05,0.12,0.0,0.04,0.21
7372,Dragon Ball: Fusions,0.02,0.0,0.19,0.0,0.21
7373,Madden NFL 07,0.2,0.0,0.0,0.02,0.21
7374,HBO Boxing,0.12,0.08,0.0,0.01,0.21
7377,Bass Pro Shops: The Strike,0.2,0.0,0.0,0.02,0.21
7378,Darkwatch,0.16,0.05,0.0,0.01,0.21
7379,Disgaea D2: A Brighter Darkness,0.09,0.0,0.1,0.02,0.21
7381,Maximo vs Army of Zin,0.1,0.08,0.0,0.03,0.21
7384,Assassin's Creed Syndicate,0.11,0.09,0.0,0.02,0.21
7386,Summoner 2,0.1,0.08,0.0,0.03,0.21
7390,Shadow of Destiny,0.09,0.07,0.03,0.02,0.21
7393,Ninja Gaiden: Dragon Sword,0.16,0.01,0.02,0.02,0.21
7394,Cabela's Deer Hunt: 2004 Season,0.16,0.05,0.0,0.01,0.21
7402,World of Final Fantasy,0.04,0.06,0.08,0.03,0.21
7403,Danganronpa Another Episode: Ultra Despair Girls,0.06,0.01,0.12,0.02,0.21
7404,Pro Evolution Soccer 2012,0.08,0.08,0.03,0.02,0.21
7405,The Legend of Spyro: The Eternal Night,0.18,0.02,0.0,0.02,0.21
7408,The Wolf Among Us,0.1,0.07,0.0,0.04,0.21
7409,Cursed Mountain,0.09,0.1,0.0,0.02,0.21
7412,Age of Empires: Mythologies,0.16,0.03,0.0,0.02,0.21
7413,SBK Superbike World Championship,0.06,0.14,0.0,0.01,0.21
7414,Bionicle,0.16,0.04,0.0,0.01,0.21
7416,Heroes of Ruin,0.13,0.07,0.0,0.02,0.21
7418,A Boy and His Blob,0.18,0.01,0.0,0.01,0.21
7422,Baja: Edge of Control,0.1,0.08,0.0,0.03,0.21
7423,G.I. Joe: The Rise of Cobra,0.11,0.07,0.0,0.03,0.21
7426,UFC Undisputed 2010,0.11,0.06,0.0,0.04,0.21
7427,World Series of Poker,0.19,0.0,0.0,0.02,0.21
7428,Rayman Raving Rabbids,0.18,0.01,0.0,0.02,0.21
7429,Deus Ex: The Conspiracy,0.1,0.08,0.0,0.03,0.21
7430,Unreal II: The Awakening,0.17,0.04,0.0,0.01,0.21
7431,Rumble Racing,0.1,0.08,0.0,0.03,0.21
7432,Spider-Man: Web of Shadows,0.1,0.08,0.0,0.03,0.21
7433,Vampire Rain,0.18,0.0,0.01,0.01,0.21
7434,Batman Begins,0.16,0.04,0.0,0.01,0.21
7435,NBA Live 15,0.17,0.02,0.0,0.02,0.21
7440,JSRF: Jet Set Radio Future,0.13,0.04,0.03,0.01,0.21
7441,NHL Hitz 20-02,0.16,0.04,0.0,0.01,0.21
7442,Way of the Samurai 3,0.12,0.05,0.02,0.02,0.21
7443,NCAA Football 2003,0.16,0.04,0.0,0.01,0.21
7445,Hitman: HD Trilogy,0.07,0.09,0.0,0.04,0.21
7447,J Stars Victory Vs.,0.0,0.03,0.17,0.01,0.21
7448,de Blob 2,0.11,0.07,0.0,0.03,0.21
7451,ESPN Winter X Games: Snowboarding 2002,0.1,0.08,0.0,0.03,0.21
7452,Final Fantasy Fables: Chocobo's Dungeon,0.09,0.0,0.11,0.01,0.21
7453,Project: Snowblind,0.1,0.08,0.0,0.03,0.21
7454,Prison Break: The Conspiracy,0.07,0.11,0.0,0.02,0.21
7456,You Don't Know Jack,0.19,0.0,0.0,0.01,0.21
7457,Mortal Kombat: Special Forces,0.12,0.08,0.0,0.01,0.21
7458,Mega Man Legacy Collection,0.14,0.0,0.05,0.02,0.21
7459,The Last Airbender,0.12,0.07,0.0,0.02,0.21
7462,NCAA March Madness 07,0.19,0.0,0.0,0.02,0.21
7463,StokEd,0.18,0.01,0.0,0.01,0.21
7465,Evil Dead: Regeneration,0.1,0.08,0.0,0.03,0.21
7467,Defiance,0.14,0.04,0.0,0.02,0.21
7468,NHL 2003,0.15,0.04,0.0,0.01,0.21
7470,Tiger Woods PGA Tour,0.19,0.0,0.0,0.02,0.21
7471,NHL 2K3,0.1,0.08,0.0,0.03,0.21
7475,You Don't Know Jack,0.19,0.0,0.0,0.01,0.21
7479,Final Fight One,0.09,0.03,0.08,0.0,0.21
7480,Tony Hawk's Pro Skater 5,0.09,0.08,0.0,0.03,0.21
7481,MLB 10: The Show,0.19,0.0,0.0,0.02,0.21
7482,Gallop Racer 2003: A New Breed,0.04,0.03,0.12,0.01,0.21
7483,Frogger 3D,0.16,0.03,0.0,0.01,0.21
7484,Blue Dragon Plus,0.12,0.03,0.05,0.01,0.21
7486,BeyBlade VForce: Super Tournament Battle,0.16,0.04,0.0,0.01,0.21
7489,Dead to Rights: Retribution,0.11,0.08,0.0,0.02,0.21
7493,Dragon Ball Z: Sagas,0.16,0.04,0.0,0.01,0.21
7494,X2: Wolverine's Revenge,0.15,0.04,0.0,0.01,0.21
7495,Power Rangers: Wild Force,0.15,0.05,0.0,0.0,0.21
7496,Tenchu: Shadow Assassins,0.15,0.01,0.03,0.01,0.21
7498,Lost Planet 3,0.07,0.05,0.06,0.02,0.21
7502,Beyblade G-Revolution,0.15,0.05,0.0,0.0,0.2
7505,Capcom Fighting Evolution,0.1,0.08,0.0,0.03,0.2
7506,Assassin's Creed The Ezio Collection,0.04,0.13,0.0,0.03,0.2
7508,God of War Collection,0.08,0.06,0.01,0.05,0.2
7512,Anarchy Reigns,0.1,0.03,0.06,0.02,0.2
7513,Mobile Suit Gundam: Crossfire,0.06,0.0,0.14,0.01,0.2
7517,Suikoden Tactics,0.06,0.05,0.07,0.02,0.2
7518,NCAA March Madness 06,0.15,0.04,0.0,0.01,0.2
7519,Sniper: Ghost Warrior 2,0.06,0.12,0.0,0.02,0.2
7520,EVE Online,0.0,0.19,0.0,0.01,0.2
7521,Phantasy Star Online,0.0,0.0,0.2,0.0,0.2
7522,Crazy Taxi 3: High Roller,0.14,0.04,0.02,0.01,0.2
7523,Midnight Club 3: DUB Edition Remix,0.15,0.04,0.0,0.01,0.2
7527,Thrillville,0.18,0.0,0.0,0.02,0.2
7529,"Warhammer 40,000: Space Marine",0.09,0.09,0.0,0.03,0.2
7532,The King of Fighters Collection: The Orochi Saga,0.1,0.08,0.0,0.03,0.2
7536,Disney's Planes,0.14,0.04,0.0,0.02,0.2
7542,MLB SlugFest 20-03,0.15,0.04,0.0,0.01,0.2
7544,The Con,0.18,0.0,0.0,0.02,0.2
7545,Pitfall: The Lost Expedition,0.1,0.08,0.0,0.03,0.2
7547,Need for Speed Carbon: Own the City,0.17,0.01,0.0,0.02,0.2
7550,Enchanted Arms,0.17,0.01,0.0,0.02,0.2
7551,Le Mans 24 Hours,0.09,0.07,0.02,0.02,0.2
7553,The Witch and the Hundred Knight,0.07,0.02,0.1,0.02,0.2
7556,Dragon Ball Z: Harukanaru Densetsu,0.19,0.0,0.0,0.02,0.2
7557,Harvest Moon: More Friends of Mineral Town,0.14,0.05,0.0,0.0,0.2
7563,X2: Wolverine's Revenge,0.14,0.05,0.0,0.0,0.2
7564,NBA 2K2,0.15,0.04,0.0,0.01,0.2
7565,Code of Princess,0.16,0.0,0.03,0.01,0.2
7566,Major League Baseball 2K11,0.15,0.03,0.0,0.02,0.2
7572,Dark Messiah of Might and Magic Elements,0.16,0.02,0.01,0.02,0.2
7573,Planet 51,0.17,0.01,0.0,0.02,0.2
7574,Dead to Rights II,0.1,0.08,0.0,0.03,0.2
7576,FIFA 16,0.06,0.13,0.0,0.01,0.2
7580,NBA Live 14,0.16,0.02,0.0,0.02,0.2
7581,Kung Fu Rider,0.06,0.09,0.01,0.03,0.2
7583,DarkStar One: Broken Alliance,0.11,0.07,0.0,0.02,0.2
7584,Dragon Ball: Xenoverse 2,0.11,0.07,0.0,0.02,0.2
7586,Odin Sphere: Leifthrasir,0.07,0.04,0.07,0.02,0.2
7589,Ty the Tasmanian Tiger 2: Bush Rescue,0.15,0.04,0.0,0.01,0.2
7590,Body and Brain Connection,0.1,0.08,0.0,0.02,0.2
7592,Dragon Ball: Revenge of King Piccolo,0.12,0.03,0.03,0.02,0.2
7595,Warriors Orochi,0.02,0.0,0.18,0.0,0.2
7596,MVP Baseball 2003,0.15,0.04,0.0,0.01,0.2
7597,Monster Jam,0.18,0.0,0.0,0.02,0.2
7598,Infinite Space,0.06,0.05,0.07,0.01,0.2
7600,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.15,0.04,0.0,0.01,0.2
7612,NBA 07,0.18,0.0,0.0,0.02,0.2
7613,Two Worlds II,0.09,0.09,0.0,0.02,0.2
7614,IHRA Drag Racing 2004,0.15,0.04,0.0,0.01,0.2
7616,The Legend of Heroes: Trails of Cold Steel,0.05,0.02,0.12,0.01,0.2
7617,Clive Barker's Jericho,0.17,0.01,0.0,0.02,0.2
7618,Tekken 3D: Prime Edition,0.06,0.07,0.05,0.01,0.2
7619,Marvel: Ultimate Alliance 2,0.16,0.03,0.0,0.02,0.2
7627,Front Mission Evolved,0.1,0.07,0.02,0.02,0.2
7632,From Russia With Love,0.15,0.04,0.0,0.01,0.2
7636,Apache: Air Assault,0.11,0.06,0.0,0.03,0.2
7640,Dying Light,0.12,0.06,0.0,0.02,0.2
7643,Grandia II,0.0,0.0,0.2,0.0,0.2
7645,Ridge Racer 6,0.1,0.02,0.07,0.01,0.2
7650,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.1,0.08,0.0,0.03,0.2
7651,Zone of the Enders HD Collection,0.14,0.03,0.01,0.02,0.2
7652,Record of Agarest War,0.18,0.0,0.01,0.01,0.2
7653,Gladius,0.1,0.08,0.0,0.03,0.2
7654,Earth Defense Force: Insect Armageddon,0.06,0.04,0.08,0.02,0.2
7655,Dave Mirra Freestyle BMX 2,0.15,0.04,0.0,0.01,0.2
7657,SpongeBob SquarePants: Revenge of the Flying Dutchman,0.15,0.04,0.0,0.01,0.2
7659,Taiko Drum Master,0.1,0.08,0.0,0.03,0.2
7663,Dungeon Hunter Alliance,0.07,0.09,0.0,0.03,0.2
7664,Forgotten Realms: Demon Stone,0.1,0.08,0.0,0.03,0.2
7666,Soldier of Fortune: Payback,0.18,0.0,0.0,0.02,0.2
7667,Afro Samurai,0.12,0.05,0.0,0.03,0.2
7674,Silent Hill: Book of Memories,0.1,0.05,0.0,0.04,0.2
7675,Playboy: The Mansion,0.1,0.08,0.0,0.03,0.2
7679,Baja: Edge of Control,0.12,0.06,0.0,0.02,0.2
7680,Tiger Woods PGA Tour 06,0.18,0.0,0.0,0.01,0.2
7683,Bleach: The 3rd Phantom,0.1,0.02,0.07,0.01,0.2
7685,MC Groovz Dance Craze,0.15,0.04,0.0,0.01,0.2
7686,The Thing,0.15,0.04,0.0,0.01,0.2
7689,Untold Legends: Dark Kingdom,0.14,0.02,0.02,0.02,0.2
7692,Plants vs. Zombies,0.18,0.0,0.0,0.02,0.2
7693,Baldur's Gate: Dark Alliance,0.15,0.04,0.0,0.01,0.2
7694,Prince of Persia: Warrior Within,0.15,0.04,0.0,0.01,0.2
7698,Warriors Orochi,0.17,0.01,0.0,0.02,0.2
7699,Predator: Concrete Jungle,0.1,0.07,0.0,0.03,0.2
7701,Arcana Heart 3,0.04,0.04,0.1,0.02,0.2
7702,X-Men Origins: Wolverine,0.15,0.03,0.0,0.02,0.2
7703,Big Mutha Truckers 2,0.1,0.07,0.0,0.03,0.2
7704,Armored Core 4,0.09,0.0,0.09,0.01,0.2
7706,Solatorobo: Red the Hunter,0.08,0.04,0.07,0.01,0.2
7707,NHL FaceOff 2001,0.1,0.07,0.0,0.02,0.2
7708,Mana Khemia 2: Fall of Alchemy,0.07,0.05,0.05,0.02,0.2
7709,The Great Escape,0.1,0.07,0.0,0.02,0.2
7711,Castlevania: Lords of Shadow 2,0.03,0.12,0.02,0.03,0.2
7714,Big Mutha Truckers,0.15,0.04,0.0,0.01,0.19
7715,Way of the Samurai 4,0.0,0.03,0.16,0.01,0.19
7717,The Hobbit,0.14,0.05,0.0,0.0,0.19
7718,The King of Fighters XI,0.07,0.06,0.04,0.02,0.19
7719,Tom Clancy's Splinter Cell: Essentials,0.17,0.01,0.0,0.02,0.19
7723,Major League Baseball 2K12,0.18,0.0,0.0,0.02,0.19
7724,Family Guy,0.18,0.0,0.0,0.02,0.19
7726,Sniper Elite,0.1,0.07,0.0,0.02,0.19
7729,Harry Potter and the Goblet of Fire,0.17,0.0,0.0,0.02,0.19
7732,Breath of Fire II,0.14,0.05,0.0,0.0,0.19
7737,UFC Personal Trainer: The Ultimate Fitness System,0.08,0.08,0.0,0.03,0.19
7739,Conan,0.16,0.02,0.0,0.01,0.19
7746,No More Heroes: Heroes' Paradise,0.1,0.04,0.04,0.02,0.19
7749,Aliens vs Predator,0.0,0.17,0.0,0.02,0.19
7750,Captain America: Super Soldier,0.1,0.06,0.0,0.03,0.19
7752,Manhunt,0.14,0.04,0.0,0.01,0.19
7753,NCAA Final Four 2003,0.09,0.07,0.0,0.02,0.19
7754,Dynasty Warriors: Gundam 2,0.07,0.03,0.08,0.01,0.19
7756,Bound By Flame,0.08,0.09,0.0,0.03,0.19
7758,Spectrobes: Origins,0.16,0.02,0.0,0.01,0.19
7764,DanceMasters,0.15,0.02,0.02,0.01,0.19
7765,Breath of Fire: Dragon Quarter,0.09,0.07,0.0,0.02,0.19
7768,Shiren the Wanderer,0.08,0.0,0.11,0.01,0.19
7772,LEGO Marvel's Avengers,0.07,0.09,0.01,0.01,0.19
7774,Spore Hero Arena,0.18,0.0,0.0,0.01,0.19
7775,Disney's Magical Mirror Starring Mickey Mouse,0.15,0.04,0.0,0.01,0.19
7776,Enchanted Arms,0.16,0.02,0.0,0.02,0.19
7778,Conflict: Denied Ops,0.08,0.09,0.0,0.02,0.19
7779,Mafia III,0.08,0.1,0.0,0.02,0.19
7783,Mace Griffin: Bounty Hunter,0.09,0.07,0.0,0.02,0.19
7785,Legacy of Kain: Defiance,0.14,0.04,0.0,0.01,0.19
7786,Final Fantasy XI,0.17,0.01,0.0,0.01,0.19
7790,Peter Jackson's King Kong: The Official Game of the Movie,0.16,0.01,0.0,0.02,0.19
7791,Fighter Within,0.11,0.07,0.0,0.02,0.19
7792,Aliens versus Predator: Extinction,0.09,0.07,0.0,0.02,0.19
7793,Shrek: Forever After,0.16,0.02,0.0,0.02,0.19
7797,X-Men Origins: Wolverine,0.13,0.03,0.0,0.03,0.19
7800,NHL Hitz Pro,0.09,0.07,0.0,0.02,0.19
7805,Space Invaders Extreme 2,0.17,0.01,0.0,0.01,0.19
7806,Need for Speed: The Run,0.09,0.09,0.0,0.02,0.19
7807,Supreme Commander 2,0.0,0.15,0.0,0.04,0.19
7809,Quantum Theory,0.05,0.09,0.02,0.03,0.19
7810,Dawn of Discovery,0.12,0.06,0.0,0.02,0.19
7811,Guitar Hero Live,0.12,0.05,0.0,0.02,0.19
7817,Frequency,0.09,0.07,0.0,0.02,0.19
7820,Dynasty Warriors 8: Empires,0.06,0.07,0.03,0.03,0.19
7821,2002 FIFA World Cup,0.14,0.04,0.0,0.01,0.19
7822,SpongeBob SquigglePants 3D,0.13,0.05,0.0,0.02,0.19
7825,Sudeki,0.14,0.04,0.0,0.01,0.19
7826,Majin and the Forsaken Kingdom,0.14,0.03,0.0,0.01,0.19
7827,Silent Hill HD Collection,0.11,0.06,0.01,0.02,0.19
7828,Arc Rise Fantasia,0.12,0.0,0.06,0.01,0.19
7839,South Park: The Stick of Truth,0.07,0.1,0.0,0.01,0.19
7841,Teenage Mutant Ninja Turtles 2: Battle Nexus,0.15,0.04,0.0,0.01,0.19
7843,MLB 12: The Show,0.17,0.0,0.0,0.02,0.19
7848,NBA 2K11,0.18,0.0,0.0,0.01,0.19
7851,WWE All Stars,0.1,0.07,0.0,0.02,0.19
7852,Naruto: Ninja Destiny,0.02,0.01,0.16,0.0,0.19
7853,FaceBreaker,0.15,0.02,0.0,0.02,0.19
7855,Spider-Man: Shattered Dimensions,0.17,0.01,0.0,0.01,0.19
7856,Lunar Legend,0.14,0.05,0.0,0.0,0.19
7857,Conflict: Global Terror,0.09,0.07,0.0,0.02,0.19
7858,Dante's Inferno,0.12,0.03,0.01,0.02,0.19
7860,Injustice: Gods Among Us,0.09,0.08,0.0,0.02,0.19
7863,Tomb Raider: Underworld,0.15,0.02,0.0,0.01,0.19
7864,Death Jr.,0.17,0.0,0.0,0.01,0.19
7865,Hulk,0.15,0.04,0.0,0.01,0.19
7868,Phantasy Star Universe,0.0,0.0,0.19,0.0,0.19
7869,Gungrave,0.09,0.07,0.0,0.02,0.19
7871,Transworld Surf,0.09,0.07,0.0,0.02,0.19
7872,Tenchu: Fatal Shadows,0.09,0.07,0.0,0.02,0.19
7873,50 Cent: Blood on the Sand,0.1,0.06,0.01,0.03,0.19
7874,Metro: Last Light,0.06,0.11,0.0,0.02,0.19
7875,Evolve,0.08,0.1,0.0,0.02,0.19
7877,Resident Evil: Revelations,0.07,0.07,0.03,0.01,0.19
7880,The Legend of Spyro: A New Beginning,0.15,0.04,0.0,0.01,0.19
7884,Armored Core: For Answer,0.06,0.02,0.1,0.01,0.19
7890,Harry Potter and the Prisoner of Azkaban,0.14,0.04,0.0,0.01,0.19
7896,Street Fighter X Tekken,0.1,0.04,0.01,0.03,0.19
7898,The Legend of Heroes: Trails of Cold Steel II,0.02,0.02,0.13,0.01,0.19
7904,Rise of the Kasai,0.09,0.07,0.0,0.02,0.19
7909,Risen,0.07,0.11,0.0,0.01,0.19
7910,Nostalgia,0.16,0.0,0.02,0.01,0.19
7911,Dynasty Warriors Gundam,0.15,0.01,0.02,0.01,0.19
7912,Chibi-Robo! Park Patrol,0.0,0.0,0.19,0.0,0.19
7916,Tom Clancy's Splinter Cell: Blacklist,0.04,0.13,0.0,0.01,0.19
7918,One Piece: Unlimited Adventure,0.07,0.0,0.11,0.01,0.19
7919,Shaun White Skateboarding,0.11,0.05,0.0,0.03,0.19
7922,Conflict: Denied Ops,0.05,0.1,0.0,0.03,0.19
7923,Binary Domain,0.09,0.06,0.02,0.02,0.19
7934,Ice Age: Dawn of the Dinosaurs,0.13,0.03,0.0,0.02,0.19
7937,Robin Hood: Defender of the Crown,0.09,0.07,0.0,0.02,0.19
7941,R-Type Final,0.09,0.07,0.0,0.02,0.19
7943,Bolt,0.12,0.04,0.0,0.02,0.19
7947,Sega GT 2002,0.12,0.03,0.03,0.01,0.19
7948,F1 2011,0.0,0.15,0.0,0.04,0.19
7950,Ty the Tasmanian Tiger 3: Night of the Quinkan,0.09,0.07,0.0,0.02,0.19
7952,Samurai Warriors 2: Empires,0.0,0.0,0.19,0.0,0.19
7953,Blood Omen 2,0.14,0.04,0.0,0.01,0.19
7954,Earth Defense Force: Insect Armageddon,0.1,0.04,0.03,0.01,0.19
7955,Major League Baseball 2K10,0.17,0.0,0.0,0.01,0.19
7956,Saints Row IV,0.11,0.06,0.0,0.02,0.19
7958,Harry Potter: Quidditch World Cup,0.14,0.04,0.0,0.01,0.19
7959,Dance Central: Spotlight,0.15,0.03,0.0,0.0,0.19
7961,Warriors: Legends of Troy,0.06,0.04,0.07,0.02,0.19
7962,La Pucelle: Tactics,0.09,0.07,0.0,0.02,0.19
7963,Arcania: Gothic 4,0.09,0.08,0.0,0.02,0.19
7964,NBA Ballers: Chosen One,0.17,0.0,0.0,0.01,0.19
7965,Tiger Woods PGA Tour 07,0.13,0.05,0.0,0.01,0.19
7966,Disney's Meet the Robinsons,0.17,0.0,0.0,0.01,0.19
7967,Sword Art Online: Hollow Realization,0.06,0.02,0.1,0.02,0.19
7969,The Lord of the Rings: War in the North,0.05,0.11,0.0,0.03,0.19
7971,SBK X: Superbike World Championship,0.1,0.07,0.0,0.02,0.19
7972,Rango: The Video Game,0.07,0.09,0.0,0.03,0.19
7973,EverQuest Online Adventures: Frontiers,0.09,0.07,0.0,0.02,0.19
7975,Fairy Fencer F,0.05,0.03,0.09,0.02,0.19
7976,Shadows of the Damned,0.1,0.06,0.01,0.02,0.19
7978,Phantasy Star Online Ver. 2,0.0,0.0,0.19,0.0,0.19
7982,Fight Club,0.09,0.07,0.0,0.02,0.18
7983,Samurai Warriors: State of War,0.07,0.0,0.11,0.01,0.18
7985,Dragon Blade: Wrath of Fire,0.17,0.0,0.0,0.01,0.18
7991,The Munchables,0.17,0.0,0.0,0.01,0.18
7995,Close Combat: First to Fight,0.14,0.04,0.0,0.01,0.18
7996,Indiana Jones and the Emperor's Tomb,0.14,0.04,0.0,0.01,0.18
7997,Buffy the Vampire Slayer: Chaos Bleeds,0.09,0.07,0.0,0.02,0.18
8001,Ty the Tasmanian Tiger,0.14,0.04,0.0,0.01,0.18
8006,Heavy Fire: Afghanistan,0.17,0.0,0.0,0.02,0.18
8007,Siren,0.09,0.07,0.0,0.02,0.18
8008,NARC,0.14,0.04,0.0,0.01,0.18
8009,Driver: San Francisco,0.05,0.1,0.0,0.03,0.18
8013,Shape Up,0.08,0.09,0.0,0.01,0.18
8027,Amplitude,0.09,0.07,0.0,0.02,0.18
8028,Disgaea DS,0.11,0.01,0.05,0.01,0.18
8029,Gauntlet: Seven Sorrows,0.14,0.04,0.0,0.01,0.18
8030,AirForce Delta Storm,0.14,0.04,0.0,0.01,0.18
8033,Fear Effect 2: Retro Helix,0.1,0.07,0.0,0.01,0.18
8036,Atelier Shallie: Alchemists of the Dusk Sea,0.06,0.02,0.08,0.02,0.18
8038,Call of Duty: World at War,0.02,0.14,0.0,0.03,0.18
8039,CSI: Fatal Conspiracy,0.11,0.05,0.0,0.02,0.18
8044,Vietcong: Purple Haze,0.09,0.07,0.0,0.02,0.18
8049,Syndicate,0.1,0.06,0.0,0.02,0.18
8050,Zumba Fitness Rush,0.0,0.16,0.0,0.02,0.18
8051,Call of Juarez,0.14,0.02,0.0,0.01,0.18
8053,Ghostbusters: The Video Game,0.16,0.01,0.0,0.02,0.18
8054,Bloody Roar: Primal Fury,0.14,0.04,0.0,0.0,0.18
8056,MotoGP,0.05,0.11,0.0,0.02,0.18
8057,Mushroom Men: The Spore Wars,0.16,0.01,0.0,0.01,0.18
8058,Saint Seiya: Soldiers' Soul,0.0,0.12,0.04,0.02,0.18
8060,LEGO Harry Potter: Years 5-7,0.07,0.07,0.0,0.03,0.18
8063,Corpse Party: Blood Drive,0.08,0.01,0.06,0.03,0.18
8064,The Last Airbender,0.13,0.04,0.0,0.01,0.18
8070,MotoGP 14 ,0.04,0.11,0.0,0.03,0.18
8072,Alone in the Dark,0.09,0.08,0.0,0.02,0.18
8075,Six Flags Fun Park,0.17,0.0,0.0,0.01,0.18
8076,Test Drive Off-Road Wide Open,0.15,0.03,0.0,0.01,0.18
8081,WWE All Stars,0.12,0.04,0.0,0.03,0.18
8083,Bad Boys: Miami Takedown,0.14,0.04,0.0,0.01,0.18
