,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,worldwide_sales
6508,Evolution Skateboarding,PlayStation 2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.26
6509,Dora the Explorer: The Search for Pirate Pig's Treasure,Game Boy Advance,2002,Adventure,NewKidCo,0.19,0.07,0.0,0.0,0.26
6510,Yakuza: Ishin,PlayStation 3,2014,Action,Sega,0.0,0.0,0.26,0.0,0.26
6511,Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26
6512,Scene It? Twilight,Wii,2009,Misc,Konami Digital Entertainment,0.16,0.07,0.0,0.02,0.25
6513,Outlaw Volleyball,Xbox,2003,Sports,TDK Mediactive,0.19,0.06,0.0,0.01,0.26
6514,Batman: Vengeance,GameCube,2001,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26
6515,RealSports Football,Atari,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.25
6516,Tiger Woods PGA Tour 10,PlayStation 2,2009,Sports,Electronic Arts,0.12,0.01,0.0,0.13,0.26
6517,Summer Sports 2: Island Sports Party,Wii,2008,Sports,Ubisoft,0.24,0.0,0.0,0.02,0.26
6518,SD Gundam G Generation: Cross Drive,DS,2007,Strategy,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
6519,Dungeons & Dragons Heroes,Xbox,2003,Role-Playing,Atari,0.19,0.06,0.0,0.01,0.26
6520,Imagine: Fashion Party,Wii,2009,Simulation,Ubisoft,0.24,0.0,0.0,0.02,0.26
6521,McGrath Vs. Pastrana Freestyle Motocross,PlayStation,2000,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02,0.26
6522,Spider-Man: Web of Shadows,PlayStation 3,2008,Action,Activision,0.2,0.04,0.0,0.02,0.26
6523,Legaia 2: Duel Saga,PlayStation 2,2001,Role-Playing,Eidos Interactive,0.13,0.1,0.0,0.03,0.26
6524,Crash Nitro Kart,GameCube,2003,Racing,Vivendi Games,0.2,0.05,0.0,0.01,0.26
6525,Samurai Warriors 4,PlayStation 3,2014,Action,Tecmo Koei,0.0,0.0,0.26,0.0,0.26
6526,Classic NES Series: Bomberman,Game Boy Advance,2004,Action,Nintendo,0.1,0.04,0.11,0.01,0.26
6527,Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.09,0.0,0.03,0.26
6528,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.24,0.0,0.0,0.02,0.26
6529,A.C.E.: Another Century's Episode,PlayStation 2,2005,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26
6530,Frogger's Journey: The Forgotten Relic,Game Boy Advance,2003,Action,Konami Digital Entertainment,0.18,0.07,0.0,0.0,0.25
6533,Oddworld: Stranger's Wrath,Xbox,2005,Adventure,Electronic Arts,0.19,0.06,0.0,0.01,0.26
6534,King of Fighters: Maximum Impact,PlayStation 2,2004,Fighting,Ignition Entertainment,0.13,0.1,0.0,0.03,0.26
6535,Marvel Super Heroes vs. Street Fighter,PlayStation,1998,Fighting,Virgin Interactive,0.14,0.1,0.0,0.02,0.26
6536,Atelier Ayesha: The Alchemist of Dusk,PlayStation 3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26
6537,Bratz Ponyz 2,DS,2008,Adventure,Game Factory,0.24,0.0,0.0,0.02,0.26
6538,Battleborn,PlayStation 4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26
6540,Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts,0.21,0.02,0.0,0.02,0.24999999999999997
6541,We Cheer 2,Wii,2009,Simulation,Namco Bandai Games,0.24,0.0,0.0,0.02,0.26
6542,Drakan: The Ancients' Gates,PlayStation 2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6543,Call of Duty: Modern Warfare 3: Defiance,DS,2011,Shooter,Activision,0.19,0.04,0.0,0.02,0.25
6544,"SpongeBob SquarePants: Lights, Camera, Pants!",Xbox,2005,Misc,THQ,0.19,0.06,0.0,0.01,0.26
6545,Resident Evil: Revelations,Xbox 360,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26
6546,Tony Hawk: Shred,Xbox 360,2010,Sports,Activision,0.17,0.06,0.0,0.02,0.25
6547,Choro Q3,PlayStation,1998,Racing,Takara,0.0,0.0,0.24,0.02,0.26
6548,Tokyo Jungle,PlayStation 3,2012,Action,Sony Computer Entertainment,0.0,0.0,0.26,0.0,0.26
6549,Lemony Snicket's A Series of Unfortunate Events,GameCube,2004,Platform,Activision,0.2,0.05,0.0,0.01,0.26
6550,Army of Two: The Devil's Cartel,Xbox 360,2013,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.25
6551,Puppeteer,PlayStation 3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.25
6552,Bionicle: Matoran Adventures,Game Boy Advance,2002,Platform,Electronic Arts,0.18,0.07,0.0,0.0,0.25
6553,Tom Clancy's Splinter Cell: Double Agent,PlayStation 3,2007,Action,Ubisoft,0.2,0.03,0.0,0.03,0.26
6554,Armored Core: Master of Arena,PlayStation,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.27
6556,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.11,0.02,0.11,0.01,0.25
6557,Desert Falcon,Atari,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.25
6558,Legendary,Xbox 360,2008,Shooter,Atari,0.08,0.15,0.0,0.03,0.26
6559,Peter Jackson's King Kong: The Official Game of the Movie,Xbox 360,2005,Action,Ubisoft,0.2,0.03,0.0,0.02,0.25
6561,Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.03,0.0,0.02,0.26
6562,A.C.E.: Another Century's Episode 3: The Final,PlayStation 2,2007,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26
6563,ATV: Quad Power Racing,Game Boy Advance,2002,Racing,Liquid Games,0.18,0.07,0.0,0.0,0.25
6564,Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26
6565,Backyard NFL Football,GameCube,2002,Sports,Infogrames,0.2,0.05,0.0,0.01,0.26
6566,All-Star Baseball 2003,Xbox,2002,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26
6567,MTX Mototrax,PlayStation 2,2004,Racing,Activision,0.13,0.1,0.0,0.03,0.26
6568,Tomb Raider: Underworld (Others sales),PlayStation 2,2009,Adventure,Eidos Interactive,0.0,0.21,0.0,0.04,0.25
6569,NHL Rock the Rink,PlayStation,1999,Sports,Electronic Arts,0.14,0.1,0.0,0.02,0.26
6570,NBA ShootOut 2004,PlayStation 2,2003,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6571,Super Robot Taisen R,Game Boy Advance,2002,Strategy,Banpresto,0.0,0.0,0.25,0.01,0.26
6572,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26
6573,Castlevania: Harmony of Dissonance,Game Boy Advance,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0.0,0.26
6574,Formula One 2001,PlayStation 2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
6576,The Penguins of Madagascar,DS,2010,Action,THQ,0.12,0.11,0.0,0.02,0.24999999999999997
6577,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,0.23,0.01,0.0,0.02,0.26
6578,Baldur's Gate: Dark Alliance II,Xbox,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26
6579,Madden NFL 2005,DS,2004,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.26
6580,MVP Baseball 2004,GameCube,2004,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
6581,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26
6582,Super Street Fighter II: Turbo Revival,Game Boy Advance,2001,Fighting,Ubisoft,0.18,0.07,0.0,0.0,0.25
6583,Secret Weapons Over Normandy,Xbox,2003,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25
6584,The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.04,0.25
6585,Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PlayStation,1998,Sports,Axela,0.0,0.0,0.24,0.02,0.26
6587,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.24999999999999997
6588,Teen Titans,PlayStation 2,2006,Action,THQ,0.12,0.1,0.0,0.03,0.25
6589,Reload: Target Down,Wii,2010,Shooter,Mastiff,0.24,0.0,0.0,0.01,0.25
6590,Madden NFL 08,DS,2007,Sports,Electronic Arts,0.23,0.0,0.0,0.02,0.25
6591,Spelling Challenges and more!,PlayStation Portable,2007,Misc,Crave Entertainment,0.24,0.0,0.0,0.02,0.26
6592,Crusaders of Might and Magic,PlayStation,1999,Role-Playing,3DO,0.14,0.1,0.0,0.02,0.26
6593,One Piece: Pirate Warriors 3,PlayStation 3,2015,Action,Namco Bandai Games,0.0,0.06,0.19,0.01,0.26
6594,Star Wars The Clone Wars: Republic Heroes,PlayStation 2,2009,Action,LucasArts,0.17,0.01,0.0,0.08,0.26
6595,Bomberman Generation,GameCube,2002,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.26
6596,Sega Rally Revo,PlayStation Portable,2007,Racing,Sega,0.03,0.15,0.0,0.07,0.25
6597,TOCA Race Driver 2: Ultimate Racing Simulator,PlayStation Portable,2005,Racing,Codemasters,0.0,0.25,0.0,0.0,0.25
6598,Surfing H3O,PlayStation 2,2000,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25
6600,Ice Age 2: The Meltdown,Game Boy Advance,2006,Platform,Vivendi Games,0.18,0.07,0.0,0.0,0.25
6601,The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,Action,Disney Interactive Studios,0.23,0.0,0.0,0.02,0.25
6602,Final Fantasy Type-0,Xbox One,2015,Role-Playing,Square Enix,0.16,0.07,0.0,0.02,0.25
6603,NASCAR 09,Xbox 360,2008,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25
6604,World Series of Poker,Xbox,2005,Misc,Activision,0.19,0.05,0.0,0.01,0.25
6605,NASCAR 09,PlayStation 3,2008,Racing,Electronic Arts,0.22,0.01,0.0,0.02,0.25
6606,Game of Thrones,Xbox 360,2012,Role-Playing,Focus Home Interactive,0.15,0.08,0.0,0.02,0.24999999999999997
6608,Power Pro Kun Pocket 2,Game Boy,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.0,0.25
6609,Happy Feet,GameCube,2006,Action,Midway Games,0.2,0.05,0.0,0.01,0.26
6610,Zoo Resort 3D,3DS,2011,Simulation,Ubisoft,0.11,0.09,0.03,0.02,0.25
6611,Smart Girl's Playhouse,DS,2007,Misc,505 Games,0.24,0.0,0.0,0.02,0.26
6612,Walt Disney's The Jungle Book: Rhythm N'Groove,PlayStation 2,2003,Misc,Disney Interactive Studios,0.12,0.1,0.0,0.03,0.25
6613,Triple Play 2002,Xbox,2002,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25
6614,Evil Zone,PlayStation,1998,Fighting,Titus,0.14,0.1,0.0,0.02,0.26
6615,Spy Kids Challenger,Game Boy Advance,2002,Platform,Disney Interactive Studios,0.18,0.07,0.0,0.0,0.25
6616,K-ON! Houkago Live!!,PlayStation Portable,2010,Misc,Sega,0.0,0.0,0.25,0.0,0.25
6617,Monsters vs. Aliens,Wii,2009,Action,Activision,0.14,0.09,0.0,0.02,0.25
6618,A. IV Evolution: A Ressha de Ikou 4,PlayStation,1994,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.26
6619,Exhibition,Xbox,2001,Misc,Microsoft Game Studios,0.19,0.05,0.0,0.01,0.25
6620,Scrabble,PlayStation,1999,Misc,Ubisoft,0.14,0.1,0.0,0.02,0.26
6621,Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.26
6622,Amped 2,Xbox,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25
6623,Blaster Master: Blasting Again,PlayStation,2000,Shooter,Sunsoft,0.14,0.1,0.0,0.02,0.26
6624,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.26
6627,NHL 08,PlayStation 3,2007,Action,Electronic Arts,0.16,0.06,0.0,0.03,0.25
6628,How to Train Your Dragon 2,3DS,2014,Adventure,Little Orbit,0.04,0.19,0.0,0.02,0.25
6629,Just Dance 2015,PlayStation 3,2014,Misc,Ubisoft,0.13,0.08,0.0,0.04,0.25
6630,The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,0.12,0.01,0.1,0.02,0.25
6631,Juiced 2: Hot Import Nights,PlayStation 3,2007,Racing,THQ,0.18,0.04,0.01,0.03,0.26
6632,WipEout XL,PlayStation,1996,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.26
6633,LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,0.1,0.13,0.0,0.03,0.26
6634,The Powerpuff Girls: Chemical X-Traction,PlayStation,2001,Action,BAM! Entertainment,0.14,0.1,0.0,0.02,0.26
6635,Dynasty Warriors 6 (JP sales),PlayStation 2,2008,Action,Tecmo Koei,0.0,0.0,0.25,0.0,0.25
6636,Dead or Alive Xtreme 2,Xbox 360,2006,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.24999999999999997
6638,Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,0.12,0.11,0.0,0.02,0.24999999999999997
6639,PlayStation VR Worlds,PlayStation 4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.26
6640,Hunted: The Demon's Forge,PlayStation 3,2011,Action,Bethesda Softworks,0.12,0.08,0.02,0.03,0.25
6641,Men of Valor,Xbox,2004,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25
6642,Bomberman Tournament,Game Boy Advance,2001,Puzzle,Activision,0.1,0.04,0.1,0.01,0.25
6643,Project Runway,Wii,2010,Simulation,Atari,0.23,0.0,0.0,0.02,0.25
6644,Scrabble,DS,2009,Misc,Ubisoft,0.2,0.02,0.0,0.03,0.25
6645,Medal of Honor European Assault,GameCube,2005,Shooter,Electronic Arts,0.19,0.05,0.0,0.01,0.25
6646,Billy Hatcher and the Giant Egg,GameCube,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25
6647,NHL 08,Xbox 360,2007,Action,Electronic Arts,0.22,0.01,0.0,0.02,0.25
6648,Midway's Greatest Arcade Hits,Game Boy Advance,2001,Misc,Midway Games,0.18,0.07,0.0,0.0,0.25
6649,Disney Sing It: Pop Hits,PlayStation 3,2009,Misc,Disney Interactive Studios,0.17,0.05,0.0,0.03,0.25
6650,WipEout Fusion,PlayStation 2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25
6652,Prison Break: The Conspiracy,PlayStation 3,2010,Action,Deep Silver,0.05,0.15,0.0,0.05,0.25
6653,Marie no Atelier: Salburg no Renkinjutsushi,PlayStation,1997,Role-Playing,Gust,0.0,0.0,0.23,0.02,0.25
6654,NHL 06,Xbox,2005,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25
6655,Golden Nugget Casino,Game Boy Advance,2004,Misc,Majesco Entertainment,0.18,0.07,0.0,0.0,0.25
6656,Imagine: Ballet Star,DS,2008,Simulation,Ubisoft,0.23,0.0,0.0,0.02,0.25
6657,Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.26
6658,Minute to Win It,Wii,2010,Misc,Zoo Games,0.23,0.0,0.0,0.02,0.25
6659,Atari Anthology,Xbox,2004,Misc,Atari,0.19,0.05,0.0,0.01,0.25
6660,Ultimate Fighting Championship,PlayStation,2000,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25
6661,Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0.0,0.02,0.25
6662,XIII,Xbox,2003,Shooter,Ubisoft,0.16,0.08,0.0,0.01,0.25
6663,Up,PlayStation 3,2009,Action,THQ,0.15,0.06,0.0,0.03,0.24
6665,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.23,0.0,0.0,0.02,0.25
6666,SpongeBob's Truth or Square (US sales),Xbox 360,2009,Action,THQ,0.25,0.0,0.0,0.0,0.25
6667,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.21,0.02,0.0,0.02,0.24999999999999997
6668,MotoGP '07,Xbox 360,2007,Racing,THQ,0.23,0.0,0.0,0.02,0.25
6669,Cars,Xbox 360,2006,Racing,THQ,0.22,0.01,0.0,0.02,0.25
6670,Fox Sports College Hoops '99,Nintendo 64,1998,Sports,Fox Interactive,0.2,0.05,0.0,0.0,0.25
6671,Wheel of Fortune,Nintendo 64,1997,Misc,Take-Two Interactive,0.2,0.05,0.0,0.0,0.25
6672,MRC: Multi-Racing Championship,Nintendo 64,1997,Racing,Ocean,0.2,0.05,0.0,0.0,0.25
6673,F1 Pole Position 64,Nintendo 64,1997,Racing,Ubisoft,0.11,0.13,0.0,0.01,0.25
6674,Gex 64: Enter the Gecko,Nintendo 64,1998,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25
6675,Wayne Gretzky's 3D Hockey '98,Nintendo 64,1997,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
6676,NBA Courtside 2 featuring Kobe Bryant,Nintendo 64,1999,Sports,Nintendo,0.2,0.05,0.0,0.0,0.25
6677,Hybrid Heaven,Nintendo 64,1999,Role-Playing,Konami Digital Entertainment,0.16,0.04,0.05,0.0,0.25
6678,NBA Showtime: NBA on NBC,Nintendo 64,1999,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
6679,Hatsune Miku: Project Diva F 2nd,PlayStation 3,2014,Misc,Sega,0.09,0.03,0.1,0.03,0.25
6680,Beyblade: Metal Fusion,DS,2009,Role-Playing,Hudson Soft,0.07,0.03,0.14,0.01,0.25
6681,Karaoke Joysound Wii,Wii,2008,Misc,Hudson Soft,0.0,0.0,0.25,0.0,0.25
6682,Madagascar: Escape 2 Africa,Xbox 360,2008,Action,Activision,0.12,0.1,0.0,0.03,0.25
6683,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25
6684,The Mummy: Tomb of the Dragon Emperor,PlayStation 2,2008,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25
6685,Def Jam Vendetta,GameCube,2003,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25
6686,Scooby-Doo! Unmasked,PlayStation 2,2005,Platform,THQ,0.12,0.1,0.0,0.03,0.25
6687,Penny Racers,PlayStation,1996,Racing,Sony Computer Entertainment,0.0,0.0,0.23,0.02,0.25
6688,The Sims 2,Xbox,2005,Simulation,Electronic Arts,0.19,0.05,0.0,0.01,0.25
6689,Spider-Man: Web of Shadows,Wii,2008,Action,Activision,0.22,0.01,0.0,0.02,0.25
6690,Caesars Palace II,PlayStation,1998,Misc,Interplay,0.14,0.09,0.0,0.02,0.25
6691,The Bureau: XCOM Declassified,PlayStation 3,2013,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25
6692,World Series Baseball 2K3,PlayStation 2,2003,Sports,Sega,0.12,0.1,0.0,0.03,0.25
6693,Tony Hawk's Proving Ground,Wii,2007,Sports,Activision,0.22,0.01,0.0,0.02,0.25
6695,Indiana Jones and the Staff of Kings,PlayStation Portable,2009,Action,Activision,0.11,0.09,0.0,0.05,0.25
6696,The Outfit,Xbox 360,2006,Action,THQ,0.21,0.02,0.0,0.02,0.24999999999999997
6698,Avatar: The Last Airbender - The Burning Earth,Wii,2007,Action,THQ,0.23,0.0,0.0,0.02,0.25
6699,Don King Presents: Prizefighter,Xbox 360,2008,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,0.24000000000000002
6700,Shin Megami Tensei x Fire Emblem,Wii U,2015,Role-Playing,Nintendo,0.12,0.05,0.06,0.02,0.24999999999999997
6701,The Backyardigans,DS,2009,Adventure,Take-Two Interactive,0.23,0.0,0.0,0.02,0.25
6702,Yakuza Zero: The Place of Oath,PlayStation 3,2015,Action,Sega,0.0,0.0,0.25,0.0,0.25
6703,Devil Kings,PlayStation 2,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25
6704,NBA Jam Tournament Edition,PlayStation,1995,Sports,Acclaim Entertainment,0.14,0.09,0.0,0.02,0.25
6705,Medabots AX: Metabee,Game Boy Advance,2002,Role-Playing,Natsume,0.18,0.07,0.0,0.0,0.25
6706,Tennis no Oji-Sama: Genius Boys Academy,Game Boy Advance,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.01,0.25
6707,Kung Fu Panda 2,Xbox 360,2011,Action,THQ,0.16,0.06,0.0,0.02,0.24
6708,Bolt,Xbox 360,2008,Adventure,Disney Interactive Studios,0.18,0.05,0.0,0.02,0.24999999999999997
6709,Shadow Man,PlayStation,1998,Action,Acclaim Entertainment,0.14,0.09,0.0,0.02,0.25
6710,Spider-Man: Edge of Time,Xbox 360,2011,Action,Activision,0.18,0.05,0.0,0.02,0.24999999999999997
6711,Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006,Role-Playing,Nintendo,0.0,0.01,0.24,0.0,0.25
6712,Netsu Chu! Pro Yakyuu 2002,PlayStation 2,2002,Sports,Namco Bandai Games,0.0,0.0,0.25,0.0,0.25
6713,"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ,0.22,0.01,0.0,0.02,0.25
6714,L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.03,0.24000000000000002
6715,Dynasty Warriors 6,PlayStation 2,2008,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.24
6716,Porky's,Atari,1982,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.24000000000000002
6717,America's Army: Rise of a Soldier,Xbox,2005,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25
6718,Grandia,PlayStation,1999,Role-Playing,Ubisoft,0.14,0.09,0.0,0.02,0.25
6719,Daisy Fuentes Pilates,Wii,2009,Sports,505 Games,0.17,0.06,0.0,0.02,0.25
6720,F1 2000,PlayStation,2000,Racing,Electronic Arts,0.14,0.09,0.0,0.02,0.25
6721,Pirates of the Caribbean: The Legend of Jack Sparrow,PlayStation 2,2006,Adventure,Ubisoft,0.12,0.09,0.0,0.03,0.24
6722,Petz: Crazy Monkeyz,Wii,2008,Simulation,Ubisoft,0.22,0.0,0.0,0.02,0.24
6723,WRC: World Rally Championship,PlayStation 2,2001,Racing,Sony Computer Entertainment,0.12,0.09,0.0,0.03,0.24
6724,Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts,0.23,0.0,0.0,0.02,0.25
6725,"Ed, Edd n Eddy: The Mis-Edventures",GameCube,2005,Platform,Midway Games,0.19,0.05,0.0,0.01,0.25
6726,Cars: Mater-National Championship,PlayStation 2,2007,Racing,THQ,0.12,0.09,0.0,0.03,0.24
6727,Armored Core 4,Xbox 360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25
6728,Dreamworks Madagascar Kartz,Xbox 360,2009,Racing,Activision,0.14,0.09,0.0,0.02,0.25
6729,Dune 2000,PlayStation,1999,Strategy,Electronic Arts,0.14,0.09,0.0,0.02,0.25
6730,Monster Hunter G,Wii,2009,Role-Playing,Capcom,0.0,0.0,0.25,0.0,0.25
6731,UEFA Euro 2008 Austria-Switzerland,PlayStation Portable,2008,Sports,Electronic Arts,0.06,0.12,0.0,0.06,0.24
6732,SBK Superbike World Championship,PlayStation 3,2008,Racing,Black Bean Games,0.12,0.11,0.0,0.02,0.24999999999999997
6733,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.16,0.07,0.0,0.02,0.25
6734,X-Men Origins: Wolverine,Wii,2009,Action,Activision,0.19,0.04,0.0,0.02,0.25
6735,Disgaea 2: Dark Hero Days,PlayStation Portable,2009,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.24999999999999997
6736,Project Overkill,PlayStation,1996,Shooter,Konami Digital Entertainment,0.14,0.09,0.0,0.02,0.25
6737,Jumping Flash! 2,PlayStation,1996,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.24999999999999997
6738,Nickelodeon Party Blast,GameCube,2002,Misc,Atari,0.19,0.05,0.0,0.01,0.25
6739,U-Sing: Girls Night,Wii,2010,Misc,Mindscape,0.0,0.21,0.0,0.04,0.25
6740,Major League Baseball 2K7,PlayStation 3,2007,Sports,Spike,0.23,0.0,0.0,0.02,0.25
6741,Final Fantasy XI: Chains of Promathia,PlayStation 2,2004,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.24
6742,The Chronicles of Riddick: Assault on Dark Athena,PlayStation 3,2009,Shooter,Vivendi Games,0.12,0.09,0.0,0.04,0.25
6743,Marvel: Ultimate Alliance 2,PlayStation Portable,2009,Role-Playing,Activision,0.17,0.04,0.0,0.04,0.25
6744,Choro Q2,PlayStation,1997,Racing,Takara,0.0,0.0,0.23,0.02,0.25
6745,Teenage Mutant Ninja Turtles: Danger of the Ooze,PlayStation 3,2014,Adventure,Activision,0.11,0.09,0.0,0.04,0.24000000000000002
6746,"What Did I Do to Deserve This, My Lord!? 2",PlayStation Portable,2008,Role-Playing,Nippon Ichi Software,0.06,0.0,0.18,0.01,0.25
6747,X-Men Legends II: Rise of Apocalypse,GameCube,2005,Role-Playing,Activision,0.19,0.05,0.0,0.01,0.25
6748,Butt Ugly Martians: B.K.M. Battles,Game Boy Advance,2002,Action,Vivendi Games,0.18,0.07,0.0,0.0,0.25
6749,Monster Jam: Path of Destruction,PlayStation 3,2010,Racing,Activision,0.21,0.02,0.0,0.02,0.24999999999999997
6750,TV Superstars,PlayStation 3,2010,Misc,Sony Computer Entertainment,0.07,0.12,0.0,0.05,0.24
6751,Family Guy: Back to the Multiverse,Xbox 360,2012,Action,Activision,0.14,0.09,0.0,0.02,0.25
6752,Ninja Gaiden 3,Xbox 360,2012,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.26
6753,Sorry! / Aggravation / Scrabble Junior,Game Boy Advance,2005,Misc,Zoo Digital Publishing,0.18,0.07,0.0,0.0,0.25
6754,Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.24
6755,The Walking Dead: Season Two,PlayStation 4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.24000000000000002
6756,Create,Wii,2010,Action,Electronic Arts,0.2,0.02,0.0,0.02,0.24
6757,Sword Art Online: Lost Song,PlayStation 4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25
6758,NBA Courtside 2002,GameCube,2002,Sports,Nintendo,0.19,0.05,0.0,0.01,0.25
6759,F1 2015,Xbox One,2015,Racing,Codemasters,0.08,0.15,0.0,0.02,0.24999999999999997
6760,Wipeout 2,DS,2011,Misc,Activision,0.23,0.0,0.0,0.02,0.25
6761,Classic NES Series: Excitebike,Game Boy Advance,2004,Racing,Nintendo,0.11,0.04,0.1,0.01,0.26
6762,Classic NES Series: Xevious,Game Boy Advance,2004,Shooter,Nintendo,0.08,0.03,0.12,0.01,0.24
6763,Avatar: The Last Airbender - Into the Inferno,PlayStation 2,2008,Adventure,THQ,0.12,0.09,0.0,0.03,0.24
